primary_key,split,group_index,match_key,state_count,tail_count,log_tau_min,log_tau_max,log_tau_spread,low_mean_collapse_fraction,high_mean_collapse_fraction,low_minus_high
path_b05,train,64,"('24', '64', '2', '0', '2', '6', 2.5)",4,1,31.150032633310794,31.740835051767085,0.5908024184562919,0.046875,0.046875,0.0
path_b05,train,65,"('24', '64', '2', '0', '3', '5', 2.5)",24,8,31.355900589442438,32.4487594898747,1.0928589004322653,0.0390625,0.017578125,0.021484375
path_b05,train,67,"('24', '64', '3', '0', '3', '4', 2.5)",6,2,31.809390199105902,32.79234686041326,0.9829566613073588,0.0234375,0.0,0.0234375
path_b05,train,68,"('24', '64', '3', '0', '3', '5', 2.5)",16,5,32.02427503613005,32.678955706830784,0.6546806707007349,0.01875,0.0125,0.006249999999999999
path_b05,train,76,"('24', '68', '2', '0', '2', '4', 2.5)",6,2,33.35594875654941,34.16719116184434,0.8112424052949336,0.015625,0.0234375,-0.0078125
path_b05,train,77,"('24', '68', '2', '0', '2', '5', 2.5)",26,8,32.67811039608466,33.62599431459969,0.947883918515025,0.068359375,0.04296875,0.025390625
path_b05,train,80,"('24', '68', '2', '0', '3', '5', 2.5)",31,10,33.0441671165662,33.94979287378241,0.9056257572162068,0.03125,0.0203125,0.0109375
path_b05,train,84,"('24', '68', '3', '0', '3', '4', 2.5)",10,3,33.20971643138796,34.35354163241304,1.1438252010250807,0.020833333333333332,0.010416666666666666,0.010416666666666666
path_b05,train,86,"('24', '68', '3', '0', '3', '5', 2.5)",11,3,33.428784073734015,34.24106959837228,0.8122855246382628,0.03125,0.0,0.03125
path_b05,train,90,"('24', '72', '2', '0', '2', '5', 2.5)",14,4,34.36202535290201,35.01818566717651,0.6561603142745014,0.05859375,0.0546875,0.00390625
path_b05,train,92,"('24', '72', '2', '0', '3', '5', 2.5)",23,7,34.57182992661629,35.44956386993578,0.8777339433194911,0.024553571428571428,0.022321428571428572,0.002232142857142856
path_b05,train,96,"('24', '72', '3', '0', '3', '4', 2.0)",14,4,34.86971231218409,35.7986937567014,0.928981444517305,0.00390625,0.00390625,0.0
path_b05,train,97,"('24', '72', '3', '0', '3', '4', 2.5)",8,2,34.93832650809452,35.76632158875528,0.827995080660763,0.0234375,0.0078125,0.015625
