row_id,graph_id,q_id,split,sample_index,sample_seed,failed_edge_indices,disconnected
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,16,1344156549,"[8, 10, 12, 15]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,17,1345156552,"[2, 3, 7, 8, 13]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,18,1346156555,"[5, 11, 14, 20]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,19,1347156558,[21],0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,20,1348156561,"[8, 12, 20]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,21,1349156564,"[8, 20]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,22,1350156567,"[1, 3, 8, 18, 21]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,23,1351156570,"[7, 17, 23]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,24,1352156573,"[0, 1, 13, 18]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,25,1353156576,"[1, 12, 16, 17, 19]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,26,1354156579,[],0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,27,1355156582,[14],0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,28,1356156585,"[0, 5, 13, 16, 22, 23]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,29,1357156588,"[4, 11, 16, 17]",0
g_n12_m24_k2_002_q00,g_n12_m24_k2_002,q00,test,30,1358156591,"[4, 20]",0
